OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,Period,GeoEntityName,GeoCode,GeoName,GeoURI,HholdWasteCollectedPerPersonKg,HholdWasteRecycledPercentage
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,427.5,48
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,379,54
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,477,52.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,411.4,33.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,407.3,54.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,411.9,44.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,426.7,52.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,345.6,33.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,382.7,48.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2011-04-01T00:00:00,2012-03-31T23:59:59,,Financial Year,2011-2012,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,425.5,55.2
